,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtQual,Electrical,ExterCond,ExterQual,Fence,FireplaceQu,Functional,GarageCond,GarageFinish,GarageQual,HeatingQC,KitchenQual,LandSlope,LotShape,PavedDrive,PoolQC,Utilities
35,3,3,1,1,5,5,3,4,0,4,8,3,3,3,5,4,3,4,3,0,4
36,3,1,1,1,4,5,3,3,0,0,8,3,1,3,5,3,3,4,3,0,4
37,3,1,3,1,3,5,3,3,0,3,8,3,3,3,4,3,3,4,3,0,4
38,3,1,6,1,3,5,4,3,0,0,8,3,1,3,3,4,3,4,3,0,4
39,0,0,0,0,0,2,3,3,0,0,8,0,0,0,3,2,3,4,1,0,4
40,3,1,3,1,3,5,3,3,2,3,8,3,2,3,5,3,3,4,3,0,4
41,3,4,4,1,3,5,4,3,0,4,8,3,2,3,4,3,3,4,2,0,4
42,3,3,5,2,4,5,3,3,3,0,8,4,2,3,4,4,3,3,3,0,4
43,3,3,2,4,4,5,3,3,3,0,8,3,1,3,3,3,3,3,3,0,4
44,3,1,5,4,3,4,3,3,0,0,8,3,2,3,5,3,3,4,3,0,4
45,3,1,6,1,5,5,3,5,0,4,8,3,2,3,5,5,3,4,3,0,4
46,3,1,6,1,5,5,3,4,0,5,8,3,2,3,5,4,3,3,3,0,4
47,3,3,6,1,4,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
48,3,1,1,1,3,5,3,3,0,0,8,0,0,0,4,3,3,4,1,0,4
49,3,1,4,1,3,5,3,3,3,0,8,3,1,3,5,3,3,4,3,0,4
50,3,3,6,1,4,5,3,3,0,0,8,3,3,3,4,3,3,2,3,0,4
51,3,1,1,1,3,5,3,3,3,4,8,3,1,3,3,3,3,4,3,0,4
52,3,4,2,6,4,5,3,2,0,0,8,3,1,3,3,3,2,2,3,0,4
53,3,4,6,1,5,5,3,4,0,4,8,3,3,3,4,4,3,3,3,0,4
54,3,1,5,1,3,5,3,3,3,3,7,3,1,3,3,3,2,4,3,0,4
55,3,1,4,1,3,5,3,3,0,4,8,3,2,3,4,3,3,3,3,0,4
56,3,1,6,1,4,5,3,4,0,0,8,3,3,3,5,4,3,4,3,0,4
57,3,1,1,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
58,3,4,1,1,5,5,3,5,0,4,8,3,3,3,5,4,3,2,3,0,4
59,3,3,5,1,3,5,3,3,3,0,8,3,1,3,5,3,3,4,3,0,4
60,3,1,5,1,4,5,3,3,0,0,8,3,1,3,5,4,3,4,3,0,4
61,2,1,1,1,3,5,3,3,0,0,8,3,1,3,3,2,3,4,1,0,4
62,4,2,6,1,4,5,3,4,0,4,8,3,2,3,5,4,3,3,3,0,4
63,3,1,1,1,3,5,3,3,4,0,8,3,1,3,4,3,3,3,3,0,4
64,3,1,6,1,4,5,3,3,4,0,8,3,2,3,5,4,3,4,3,0,4
65,3,3,1,1,5,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
66,3,4,6,1,4,5,3,3,0,4,7,3,2,3,3,3,3,4,3,0,4
67,3,3,6,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
68,3,1,1,1,3,5,4,3,0,0,8,3,1,3,3,3,3,4,3,0,4
69,3,1,4,1,3,5,3,4,0,3,8,3,3,3,3,3,3,4,3,0,4
70,3,4,5,1,4,5,4,3,0,4,8,3,3,3,5,3,3,3,3,0,4
71,3,1,5,1,3,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
72,3,1,1,1,4,5,3,3,0,3,8,3,3,3,4,3,3,3,3,0,4
73,3,1,5,4,3,5,3,3,2,0,8,3,1,3,4,3,3,4,3,0,4
74,3,1,1,1,2,5,4,4,0,0,8,3,1,3,4,3,3,4,3,0,4
75,3,4,6,1,4,5,3,3,2,0,8,3,1,3,3,3,3,4,3,0,4
76,3,1,5,1,3,4,3,3,0,0,8,3,1,3,5,3,3,3,3,0,4
77,3,1,4,6,3,5,3,3,3,0,7,3,1,3,3,3,3,4,3,0,4
78,3,1,1,1,3,5,3,3,0,0,8,0,0,0,3,3,3,4,3,0,4
79,3,1,1,1,3,5,3,3,3,0,8,3,1,3,4,3,3,4,3,0,4
80,3,1,3,1,4,5,4,3,0,4,8,3,3,3,3,4,3,4,3,0,4
81,4,1,6,1,5,5,4,3,0,0,8,3,3,3,5,3,3,4,3,0,4
82,3,1,6,1,4,5,3,3,0,4,8,3,2,3,5,4,3,4,3,0,4
83,3,1,1,1,3,5,3,3,0,0,8,3,1,3,4,3,3,3,3,0,4
84,3,1,1,1,4,5,3,3,0,3,8,3,3,3,4,3,3,3,3,0,4
85,3,1,1,1,4,5,3,4,0,3,8,3,1,3,5,4,3,4,3,0,4
86,3,3,1,1,4,5,3,4,0,4,8,3,3,3,5,4,3,2,3,0,4
87,3,3,1,1,4,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
88,2,1,1,1,3,5,2,2,3,0,8,0,0,0,3,2,3,3,1,0,4
89,3,1,6,1,4,5,3,3,0,0,8,0,0,0,5,3,3,4,3,0,4
90,0,0,0,0,0,4,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
91,3,1,3,1,3,5,3,3,2,0,8,3,1,3,3,3,3,4,3,0,4
92,3,1,5,1,4,5,4,3,0,0,8,3,1,3,5,3,3,3,3,0,4
93,2,2,3,1,3,5,3,3,0,4,8,3,1,3,5,3,3,4,3,0,4
94,3,1,6,1,4,5,4,3,0,0,8,3,2,3,5,4,3,3,3,0,4
95,4,1,5,1,4,5,4,5,0,3,8,3,3,3,4,3,3,2,3,0,4
96,3,3,5,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
97,3,1,3,1,3,3,3,3,0,0,8,3,3,3,3,3,3,4,2,0,4
98,3,1,5,1,3,5,3,3,0,0,8,3,1,2,2,3,3,4,3,0,4
99,3,1,5,1,3,5,3,3,0,0,8,0,0,0,2,3,3,3,3,0,4
100,3,2,5,1,3,5,3,3,0,3,8,3,2,3,4,4,3,3,3,0,4
101,3,1,1,1,4,5,3,4,0,3,8,3,3,3,3,4,3,4,3,0,4
102,0,0,0,0,0,5,2,3,0,0,8,3,1,3,3,3,3,4,3,0,4
103,3,1,1,1,4,5,3,3,0,0,8,3,2,3,5,4,3,3,3,0,4
104,3,1,2,1,3,3,2,3,0,3,8,3,1,3,5,3,3,4,3,0,4
105,3,1,1,1,5,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
106,3,1,1,1,2,5,3,3,0,0,8,2,1,2,4,3,3,4,1,0,4
107,3,1,5,4,3,5,3,3,0,0,8,3,1,3,5,3,3,4,3,0,4
108,3,1,1,1,3,3,3,3,0,0,8,0,0,0,3,2,3,4,1,0,4
109,3,1,4,1,4,5,3,3,3,3,8,3,2,3,5,3,3,3,3,0,4
110,2,1,3,1,3,5,3,3,0,0,8,3,1,3,4,3,3,4,3,0,4
111,3,1,6,1,4,5,3,3,0,3,8,3,3,3,5,3,3,3,3,0,4
112,3,3,6,1,5,5,3,4,0,4,8,3,3,3,5,5,3,4,3,0,4
113,3,2,5,3,4,5,4,3,3,4,8,3,1,3,3,4,3,4,3,0,4
114,3,1,5,2,3,5,3,3,3,3,8,3,1,3,5,4,2,3,3,0,4
115,3,1,6,1,4,5,3,3,0,2,8,3,1,3,4,3,3,4,3,0,4
116,3,1,2,4,3,5,3,3,0,1,8,3,1,3,3,3,3,4,3,0,4
117,3,1,1,1,4,5,3,3,0,0,8,3,1,3,4,3,3,4,3,0,4
118,3,2,6,1,4,5,3,3,0,3,8,3,1,3,4,4,3,4,3,0,4
119,3,1,1,1,4,5,3,4,0,4,8,3,3,3,5,4,3,4,3,0,4
120,3,4,5,1,3,5,3,3,0,3,8,3,1,3,5,3,1,3,3,0,4
121,3,1,1,1,3,5,3,3,3,0,8,3,1,3,4,3,3,4,2,0,4
122,3,1,4,1,3,5,4,3,0,0,8,3,1,3,4,3,3,4,3,0,4
123,3,1,6,1,4,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
124,2,1,1,1,4,5,4,3,0,3,8,3,1,3,3,3,3,3,3,0,4
125,3,3,6,1,3,5,2,3,0,0,8,0,0,0,4,3,3,4,1,0,4
126,3,1,5,1,4,5,3,3,0,3,8,3,2,3,3,3,3,3,3,0,4
127,3,1,2,1,3,5,4,3,0,3,8,0,0,0,5,3,3,3,1,0,4
128,3,1,4,1,3,5,3,3,0,2,8,3,2,3,3,3,3,4,3,0,4
129,3,1,3,4,3,4,3,3,1,0,8,3,2,3,3,5,3,4,3,0,4
130,3,1,3,1,3,5,3,3,4,4,8,3,3,3,5,4,3,4,3,0,4
131,3,1,6,1,4,5,3,4,0,3,8,3,2,3,5,4,3,3,3,0,4
132,3,1,3,1,3,5,3,3,0,0,8,3,1,3,4,4,3,4,3,0,4
133,3,1,6,1,5,5,3,4,0,0,8,3,3,3,5,4,3,3,3,0,4
134,3,1,3,1,3,5,3,3,3,3,7,3,2,3,4,3,3,3,3,0,4
135,3,1,1,1,3,5,3,3,3,4,8,3,1,3,4,3,3,4,3,0,4
136,3,1,4,1,3,5,3,3,0,2,8,3,2,3,3,3,3,3,3,0,4
137,3,1,1,1,3,5,3,3,0,0,8,3,1,3,4,3,3,4,3,0,4
138,3,2,6,1,4,5,3,4,4,3,8,3,3,3,5,4,3,3,3,0,4
139,3,1,6,1,4,5,3,3,3,0,8,3,2,3,5,4,3,3,3,0,4
140,3,1,5,1,3,5,3,3,0,1,8,0,0,0,3,3,3,4,3,0,4
141,3,3,6,1,4,5,3,4,0,0,8,3,3,3,5,4,3,4,3,0,4
142,3,1,3,1,3,5,2,3,3,0,8,3,1,3,2,3,3,4,3,0,4
143,3,4,6,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
144,3,1,3,1,3,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
145,3,1,1,1,4,5,3,4,0,0,4,3,1,3,5,4,3,4,3,0,4
146,3,1,4,1,3,4,3,3,0,0,8,3,1,2,3,3,3,4,3,0,4
147,3,1,1,1,4,5,3,4,0,4,8,3,3,3,5,4,3,3,3,0,4
148,3,1,6,1,4,5,3,3,0,0,8,0,0,0,5,4,3,4,3,0,4
149,3,1,1,1,4,4,3,3,0,0,8,3,1,2,4,3,3,4,3,0,4
150,3,3,4,1,3,5,3,3,3,0,8,3,1,3,3,3,3,4,3,0,4
151,3,4,6,1,5,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
152,3,1,3,1,3,5,3,3,2,4,8,3,2,3,4,3,3,3,3,0,4
153,3,4,4,5,4,5,3,3,0,4,8,3,2,3,4,3,3,4,3,0,4
154,3,1,1,1,3,4,3,3,0,0,8,2,1,2,3,3,3,4,3,0,4
155,3,1,1,1,3,3,3,3,0,0,8,0,0,0,2,3,3,4,1,0,4
156,0,0,0,0,0,3,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
157,3,1,1,1,5,5,3,4,0,4,8,3,3,3,5,5,3,4,3,0,4
158,3,1,6,1,4,5,3,4,2,4,8,3,2,3,5,4,3,4,3,0,4
159,3,2,6,1,4,5,3,4,0,4,8,3,2,3,5,4,3,3,3,0,4
160,3,1,4,1,4,5,3,3,0,0,8,3,1,3,3,3,3,3,3,0,4
161,3,3,6,1,5,5,3,4,0,4,8,3,3,3,5,5,3,3,3,0,4
162,3,2,4,1,4,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
163,3,1,1,1,3,5,3,3,3,0,8,0,0,0,5,3,3,4,3,0,4
164,3,2,2,1,3,4,4,3,0,0,8,3,1,3,4,4,3,4,3,0,4
165,3,1,5,3,3,5,4,3,0,0,8,0,0,0,4,3,3,4,3,0,4
166,3,1,2,4,3,4,3,4,2,4,8,3,3,3,5,3,3,3,3,0,4
167,3,1,6,1,5,5,3,4,0,4,8,3,3,3,5,5,3,4,3,0,4
168,3,1,1,1,4,5,3,4,0,4,8,3,3,3,5,4,3,3,3,0,4
169,3,1,1,1,4,5,3,4,0,3,8,3,2,3,3,3,3,3,3,0,4
170,3,1,3,1,3,5,3,3,0,0,8,3,1,3,3,3,3,3,3,0,4
171,4,4,4,1,3,5,3,3,0,4,8,3,3,3,2,3,3,3,2,0,4
172,4,1,6,3,4,5,4,4,0,3,8,3,2,4,4,4,3,3,3,0,4
173,3,1,5,3,3,5,3,3,0,3,8,3,1,3,3,3,3,3,3,0,4
174,2,1,5,2,4,5,3,3,0,3,6,3,3,3,3,3,3,3,3,0,4
175,4,3,5,1,3,5,3,3,3,4,8,3,1,3,3,4,3,4,3,0,4
176,3,1,6,1,4,5,3,4,0,3,8,3,1,3,3,3,3,3,3,0,4
177,3,1,5,4,3,5,4,4,0,4,8,3,1,3,5,4,3,4,3,0,4
178,3,1,6,1,5,5,3,5,0,4,8,3,3,3,5,5,3,3,3,0,4
179,3,1,1,1,3,5,3,4,0,0,8,3,1,2,3,3,3,4,1,0,4
180,3,1,6,1,4,5,3,4,0,3,8,3,1,3,5,4,3,4,3,0,4
181,3,1,2,1,2,5,3,3,0,4,8,3,1,2,4,3,3,4,3,0,4
182,0,0,0,0,0,5,3,3,3,4,8,3,2,3,5,3,3,4,3,0,4
183,3,1,1,1,4,5,3,3,0,0,5,3,1,3,5,4,3,4,1,0,4
184,3,1,1,1,2,5,3,3,3,0,8,3,1,3,4,3,3,3,3,0,4
185,3,2,1,1,3,5,4,4,4,3,8,3,1,5,5,5,3,2,3,0,4
186,3,3,6,1,4,5,3,3,4,0,8,3,1,3,5,4,3,3,3,0,4
187,3,1,1,1,2,5,3,3,3,0,6,2,1,2,5,3,3,4,1,0,4
188,3,3,6,1,4,5,3,3,0,3,8,3,1,3,3,3,3,4,3,0,4
189,3,3,6,1,5,5,3,4,0,4,8,3,3,3,5,5,3,4,3,0,4
190,4,1,3,1,4,5,3,4,0,3,4,3,1,3,3,4,2,4,3,0,4
191,3,1,5,1,3,5,3,3,0,0,8,3,3,3,4,4,3,3,3,0,4
192,3,3,6,1,4,5,3,4,0,0,8,3,3,3,5,4,3,3,3,0,4
193,3,1,1,1,4,5,3,4,0,0,4,3,1,3,5,4,3,4,3,0,4
194,3,3,5,1,3,5,3,3,0,0,8,3,1,3,3,3,3,3,3,0,4
195,3,1,5,1,4,5,3,3,0,3,8,3,1,3,3,3,3,4,3,0,4
196,3,1,6,1,5,5,3,5,0,4,8,3,3,3,5,5,3,4,3,0,4
197,3,1,6,2,3,5,4,4,4,5,8,3,1,3,4,4,3,4,3,5,4
198,3,1,1,1,3,5,3,3,3,0,8,0,0,0,5,3,3,4,3,0,4
199,3,3,6,1,5,5,3,4,0,4,8,3,3,3,5,5,3,4,3,0,4
200,3,1,1,1,4,5,3,3,0,0,8,3,2,3,5,3,3,4,3,0,4
201,3,1,5,2,3,5,3,3,3,2,8,3,1,3,3,3,3,4,3,0,4
202,3,1,2,1,2,5,4,3,0,0,7,3,1,3,4,3,3,4,3,0,4
203,3,3,6,1,4,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
204,3,1,2,1,3,5,3,3,1,0,8,3,1,3,3,3,3,4,3,0,4
205,3,1,1,1,4,5,3,3,0,0,8,3,2,3,5,3,3,4,3,0,4
206,3,1,1,1,3,5,4,3,0,3,6,3,2,3,3,3,3,3,3,0,4
207,3,1,5,3,3,5,3,3,2,1,8,3,2,3,3,3,3,3,3,0,4
208,3,4,6,1,4,5,3,4,0,4,8,3,3,3,5,3,2,3,3,0,4
209,3,1,3,1,4,5,3,3,3,0,8,4,2,3,5,3,3,4,3,0,4
210,3,1,3,1,3,4,3,3,0,0,8,0,0,0,3,3,3,4,3,0,4
211,3,2,6,1,4,5,3,3,0,0,8,3,2,3,5,4,3,4,3,0,4
212,3,1,6,1,4,5,3,3,0,3,8,3,2,3,5,4,3,4,3,0,4
213,3,1,5,1,4,5,3,3,0,0,8,3,1,3,5,3,3,2,3,0,4
214,3,1,6,1,4,5,3,3,3,0,8,3,3,3,5,3,3,3,3,0,4
215,3,1,4,1,3,5,3,3,3,2,7,3,1,3,3,4,3,3,3,0,4
216,3,2,6,1,4,5,3,4,0,0,8,3,1,3,5,4,3,4,3,0,4
217,3,1,1,1,3,5,3,3,0,0,8,3,1,3,2,3,3,4,3,0,4
218,3,1,4,1,3,5,4,4,0,3,8,3,1,3,5,4,3,3,3,0,4
219,3,3,6,1,4,5,3,4,0,0,8,3,3,3,5,4,3,4,3,0,4
220,3,2,1,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
221,3,1,1,1,4,5,3,4,0,3,8,3,2,3,5,4,3,3,3,0,4
222,3,1,5,1,4,5,3,3,3,3,8,3,2,3,3,3,3,4,3,0,4
223,3,1,5,2,3,5,3,3,0,0,8,3,1,3,4,3,3,4,3,0,4
224,3,4,6,1,5,5,3,5,0,5,8,3,3,3,5,5,3,4,3,0,4
225,3,1,1,1,3,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
226,3,1,6,1,4,5,3,4,0,3,8,3,2,3,5,4,3,3,3,0,4
227,3,1,3,1,3,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
228,3,1,5,1,3,5,3,3,3,2,8,3,1,3,3,3,3,4,3,0,4
229,3,3,6,1,4,5,3,4,0,3,8,3,3,3,5,4,3,4,3,0,4
230,3,1,1,1,3,5,3,3,0,0,8,3,2,3,3,3,3,4,3,0,4
231,3,1,6,1,4,5,3,4,0,3,8,3,3,3,5,5,3,3,3,0,4
232,3,1,1,1,3,5,3,3,0,1,8,3,1,3,3,3,3,4,3,0,4
233,4,3,2,5,3,5,3,3,3,0,8,3,1,3,3,3,3,4,3,0,4
234,3,1,6,1,4,5,3,4,0,3,8,3,3,3,5,4,3,4,3,0,4
235,3,1,5,1,3,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
236,3,3,6,1,4,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
237,3,1,4,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
238,3,1,1,1,5,5,3,5,0,0,8,3,3,3,5,4,3,4,3,0,4
239,2,1,2,1,3,4,3,3,3,4,8,3,1,3,3,3,3,4,3,0,4
240,3,3,6,1,4,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
241,3,1,5,1,3,5,4,3,0,0,8,0,0,0,4,4,3,4,3,0,4
242,3,1,1,1,3,4,3,3,0,0,8,3,1,2,4,3,3,4,3,0,4
243,3,1,1,1,4,5,3,3,0,3,8,3,2,3,3,3,3,4,3,0,4
244,3,1,6,1,4,5,3,4,0,2,8,3,2,3,5,4,3,3,3,0,4
245,3,3,6,1,4,5,3,3,0,3,8,3,3,3,4,3,3,4,3,0,4
246,3,1,1,1,2,2,2,3,0,0,8,1,1,1,4,2,3,4,3,0,4
247,3,1,1,1,3,5,3,3,0,3,8,3,1,3,5,3,3,4,3,0,4
248,3,1,1,1,4,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
249,3,4,3,1,4,5,3,4,0,3,8,3,3,3,4,4,1,2,3,0,4
250,3,1,1,1,3,5,1,3,2,0,5,0,0,0,5,2,3,3,3,0,4
251,3,4,6,1,4,5,3,4,0,4,8,3,3,3,5,4,2,3,3,0,4
252,3,1,1,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
253,3,4,2,5,4,5,3,3,3,0,7,3,2,3,5,4,3,4,3,0,4
254,3,1,3,1,3,5,4,3,0,0,8,3,2,3,3,3,3,4,3,0,4
255,3,1,1,1,4,5,3,4,0,3,8,3,3,3,5,4,3,3,3,0,4
256,3,1,3,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
257,3,1,6,1,4,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
258,3,1,6,1,4,5,3,4,0,3,8,3,2,3,5,4,3,4,3,0,4
259,0,0,0,0,0,4,3,3,0,0,8,3,1,3,4,3,3,4,3,0,4
260,3,4,3,5,3,5,3,3,2,3,8,3,1,3,3,3,3,4,3,0,4
261,3,1,1,1,5,5,3,4,0,4,8,3,3,3,5,5,3,3,3,0,4
262,4,3,5,1,4,5,3,3,2,3,8,3,1,3,3,3,3,3,3,0,4
263,3,1,2,5,3,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
264,3,1,1,1,2,2,3,3,0,0,8,3,1,3,4,3,3,1,1,0,4
265,3,1,6,2,4,5,4,3,4,3,8,3,3,3,3,4,3,3,3,0,4
266,3,3,6,1,4,5,3,3,0,3,8,3,3,3,4,3,3,3,3,0,4
267,3,1,2,1,3,5,3,3,0,4,8,3,1,3,5,4,2,4,3,0,4
268,3,1,5,3,3,5,3,3,0,4,8,5,3,5,5,3,3,4,3,0,4
269,4,1,4,1,3,5,4,3,4,2,8,4,2,3,3,3,3,3,3,0,4
270,3,2,1,1,4,5,3,4,0,4,8,3,2,3,4,4,3,4,3,0,4
271,3,4,2,6,4,5,3,3,0,3,5,3,1,3,5,3,1,3,3,0,4
272,3,1,6,1,4,5,3,4,0,4,8,3,3,3,5,4,3,3,3,0,4
273,3,1,3,2,3,5,3,3,3,4,7,3,2,3,4,3,3,4,3,0,4
274,3,4,5,1,3,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
275,3,1,1,1,3,5,4,4,0,0,8,3,1,3,4,5,3,4,3,0,4
276,3,1,1,1,5,5,3,4,0,0,8,3,3,3,5,4,3,3,3,0,4
277,3,1,2,1,3,5,3,3,0,0,8,3,1,3,5,3,3,4,3,0,4
278,3,4,1,1,5,5,3,5,0,5,8,3,3,3,5,5,3,4,3,0,4
279,3,1,4,1,4,5,3,3,0,3,8,3,3,3,5,3,3,4,3,0,4
280,3,3,6,1,4,5,3,4,0,3,8,3,3,3,4,4,3,4,3,0,4
281,3,1,6,1,4,5,3,4,0,0,8,3,3,3,4,4,3,4,3,0,4
282,3,1,6,1,4,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
283,3,1,1,1,4,5,3,4,0,4,8,3,3,3,5,4,3,4,3,0,4
284,3,1,6,1,4,5,3,4,0,0,8,3,2,3,4,4,3,4,3,0,4
285,3,1,1,1,4,5,3,4,0,0,8,3,2,3,5,4,3,3,3,0,4
286,3,1,3,1,3,5,3,3,4,4,8,3,2,3,3,4,3,3,3,0,4
287,3,1,4,1,3,5,3,3,0,0,8,0,0,0,3,3,3,3,3,0,4
288,3,1,4,1,3,5,4,3,3,0,8,3,1,3,3,3,3,3,3,0,4
289,3,1,1,1,3,4,3,3,0,0,8,3,1,3,5,3,3,4,3,0,4
290,3,3,1,1,4,5,3,4,0,4,8,3,2,4,5,4,3,4,3,0,4
291,2,1,3,1,3,5,2,3,0,0,8,0,0,0,5,2,3,4,1,0,4
292,3,1,2,1,3,5,3,3,0,4,6,3,1,3,4,3,3,4,3,0,4
293,3,1,5,1,3,5,3,3,0,3,8,3,3,3,2,4,3,3,3,0,4
294,3,1,6,1,3,5,3,3,0,4,8,3,3,3,3,3,3,4,3,0,4
295,3,3,6,1,3,5,3,3,4,0,8,3,1,3,3,3,3,3,3,0,4
296,3,1,4,1,3,4,3,3,3,0,8,3,1,3,3,3,3,4,3,0,4
297,3,1,4,1,4,5,3,4,0,3,8,3,2,3,5,4,3,3,3,0,4
298,3,1,5,3,3,5,3,4,0,4,8,3,1,3,4,3,3,4,3,0,4
299,3,1,1,1,3,5,4,3,4,4,8,3,1,3,5,4,3,4,3,0,4
300,3,2,4,1,3,5,3,3,0,4,8,3,1,3,3,3,3,4,3,0,4
301,3,1,6,1,4,5,3,4,0,3,8,3,3,3,5,4,3,1,3,0,4
302,3,1,1,1,4,5,3,4,0,3,8,3,2,3,5,4,3,3,3,0,4
303,3,1,5,1,3,5,3,3,2,0,8,3,1,3,3,3,3,4,3,0,4
304,3,1,1,1,3,5,3,3,0,5,8,3,1,3,5,4,3,4,3,0,4
305,3,1,6,1,4,5,3,4,0,0,8,3,3,3,5,4,3,4,3,0,4
306,3,1,5,1,4,5,3,4,0,3,8,3,2,3,4,4,3,4,3,0,4
307,3,1,1,1,3,4,2,3,3,0,8,0,0,0,3,2,3,3,1,0,4
308,3,1,4,1,3,5,3,3,0,0,8,3,1,3,5,3,3,3,3,0,4
309,3,4,6,1,5,5,3,4,0,5,8,3,3,3,5,5,3,3,3,0,4
310,3,1,5,1,4,5,3,3,0,3,8,3,3,3,4,4,3,3,3,0,4
311,3,1,5,1,3,5,4,3,0,4,8,3,1,3,5,3,3,4,3,0,4
